id,title_fa,Rate,Rate_cnt,Category1,Category2,Brand,Price,Seller,Is_Fake,min_price_last_month,sub_category
11606169,عینک آفتابی مدل XH3332 - فشن,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5490000,فروشگاه آرکوشپ,True,0,clothe
10789220,عینک آفتابی اسپیریت مدل p00022 c3,60,1,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اسپیریت,5725000,دیجی‌کالا,False,0,clothe
10789013,عینک آفتابی اسپیریت مدل p00101 c1,86,3,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اسپیریت,5854000,دیجی‌کالا,False,0,clothe
10788973,عینک آفتابی اسپیریت مدل p00112 c4,40,1,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اسپیریت,5725000,دیجی‌کالا,False,5158000,clothe
10789018,عینک آفتابی اسپیریت مدل p00090 c4,90,2,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اسپیریت,5725000,دیجی‌کالا,False,5158000,clothe
11174592,عینک آفتابی جنتل مانستر مدل Ar6,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,جنتل مانستر,5600000,ارکان شاپ,False,0,clothe
10791896,عینک شب مانگو مدل m3518 c10,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,مانگو,5725000,دیجی‌کالا,False,0,clothe
10792215,عینک آفتابی مانگو مدل m3519 c3,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,مانگو,5725000,دیجی‌کالا,False,0,clothe
9398606,عینک آفتابی لاگوست مدل 2174 POLARIZED,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,لاگوست,5400000,ترند اپتیک,False,0,clothe
11390186,عینک آفتابی میباخ مدل MYC33,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,میباخ,5500000,عینک استور,False,0,clothe
10933894,عینک آفتابی مدل 96009 - تابه تا,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5390000,فروشگاه آرکوشپ,True,0,clothe
10788946,عینک آفتابی اسپیریت مدل p00080 c5,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اسپیریت,5725000,دیجی‌کالا,False,5158000,clothe
11423345,عینک آفتابی مدل ML6026 Tawny Transparent,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5450000,اُپتیک اِستور,False,0,clothe
9398617,عینک آفتابی لاگوست مدل 2174 POLARIZED,20,1,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,لاگوست,5400000,ترند اپتیک,False,0,clothe
12217824,عینک آفتابی مدل ML6026 Obsidian Leopard Pattern,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5500000,اُپتیک اِستور,False,0,clothe
10792141,عینک آفتابی اسپیریت مدل p00015 c1,100,1,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اسپیریت,5725000,دیجی‌کالا,False,0,clothe
11171484,عینک آفتابی مدل ML6024 Semi Transparent Mountain,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5500000,اُپتیک اِستور,False,0,clothe
10789630,عینک آفتابی اسپریت مدل p00045 c4,80,2,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اسپریت,5725000,دیجی‌کالا,False,0,clothe
10792212,عینک شب مانگو مدل m3519 c5,60,1,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,مانگو,5725000,دیجی‌کالا,False,0,clothe
10642278,عینک آفتابی میباخ مدل 10473 - ft-ad,100,2,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,میباخ,5760000,فروشگاه آرکوشپ,False,0,clothe
11865511,عینک آفتابی اوپتل مدل 1153 03,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اوپتل,5132000,دیجی‌کالا,False,0,clothe
11387591,عینک آفتابی مدل 3016,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5800000,فروشگاه آرکوشپ,True,0,clothe
10641216,عینک آفتابی دیوید بکهام مدل SA0037,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,دیوید بکهام,5510000,ترند اپتیک,False,0,clothe
10789227,عینک آفتابی اسپیریت مدل p00026 c1,60,1,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اسپیریت,5725000,دیجی‌کالا,False,0,clothe
10791832,عینک آفتابی اسپیریت مدل p00017 c3,60,1,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اسپیریت,5725000,دیجی‌کالا,False,5158000,clothe
9905095,عینک آفتابی مدل خلبانی,80,1,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5670000,عینک علیخانی,True,0,clothe
12423478,عینک آفتابی مدل 4239 - Fm-bargh,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4350000,فروشگاه آرکوشپ,True,0,clothe
10792217,عینک آفتابی مانگو مدل m3519 c10,60,3,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,مانگو,5725000,دیجی‌کالا,False,0,clothe
11493669,عینک آفتابی مدل ML65014 True Obsidian Anchor,20,1,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5400000,اُپتیک اِستور,False,0,clothe
11727425,عینک آفتابی مدل Z1820 Polarized Obsidian ,86,3,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5494000,اُپتیک اِستور,False,5494000,clothe
7961676,عینک آفتابی مدل 013,88,5,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5791700,کژال بیوتی,False,4184600,clothe
